"playerID","rank","points","first","last","dob","country"
104745,1,12450,"Rafael","Nadal",19860603,"ESP"
103819,2,9145,"Roger","Federer",19810808,"SUI"
104925,3,6240,"Novak","Djokovic",19870522,"SRB"
104918,4,5760,"Andy","Murray",19870515,"GBR"
104417,5,5580,"Robin","Soderling",19840814,"SWE"
104607,6,3955,"Tomas","Berdych",19850917,"CZE"
103970,7,3735,"David","Ferrer",19820402,"ESP"
104053,8,3665,"Andy","Roddick",19820830,"USA"
104269,9,3240,"Fernando","Verdasco",19831115,"ESP"
104022,10,2920,"Mikhail","Youzhny",19820625,"RUS"
103781,11,2785,"Jurgen","Melzer",19810522,"AUT"
104792,12,2560,"Gael","Monfils",19860901,"FRA"
104542,13,2345,"Jo Wilfried","Tsonga",19850417,"FRA"
105227,14,2300,"Marin","Cilic",19880928,"CRO"
104597,15,2160,"Nicolas","Almagro",19850821,"ESP"
103888,16,1991,"Mardy","Fish",19811209,"USA"
103344,17,1965,"Ivan","Ljubicic",19790319,"CRO"
105023,18,1860,"Sam","Querrey",19871007,"USA"
104545,19,1850,"John","Isner",19850426,"USA"
104571,20,1785,"Marcos","Baghdatis",19850617,"CYP"
104527,21,1755,"Stanislas","Wawrinka",19850328,"SUI"
103786,22,1655,"Nikolay","Davydenko",19810602,"RUS"
103566,23,1575,"Michael","Llodra",19800518,"FRA"
105208,24,1505,"Ernests","Gulbis",19880830,"LAT"
103656,25,1495,"Albert","Montanes",19801126,"ESP"
104338,26,1480,"Juan","Monaco",19840329,"ARG"
103900,27,1480,"David","Nalbandian",19820101,"ARG"
104678,28,1430,"Viktor","Troicki",19860210,"SRB"
103507,29,1415,"Juan Carlos","Ferrero",19800212,"ESP"
104755,30,1385,"Richard","Gasquet",19860618,"FRA"
105064,31,1355,"Thomaz","Bellucci",19871230,"BRA"
103852,32,1300,"Feliciano","Lopez",19810920,"ESP"
104198,33,1275,"Guillermo","Garcia Lopez",19830604,"ESP"
104259,34,1215,"Philipp","Kohlschreiber",19831016,"GER"
104229,35,1141,"Yen Hsun","Lu",19830814,"TPE"
104979,36,1135,"Andrey","Golubev",19870722,"KAZ"
104252,37,1128,"Florian","Mayer",19831005,"GER"
103428,38,1070,"Juan Ignacio","Chela",19790830,"ARG"
103813,39,1062,"Jarkko","Nieminen",19810723,"FIN"
104797,40,1031,"Denis","Istomin",19860907,"UZB"
104468,41,1005,"Gilles","Simon",19841227,"FRA"
104719,42,993,"Marcel","Granollers",19860412,"ESP"
105217,43,975,"Thiemo","De Bakker",19880919,"NED"
103898,44,965,"Julien","Benneteau",19811220,"FRA"
104871,45,960,"Jeremy","Chardy",19870212,"FRA"
104660,46,945,"Sergiy","Stakhovsky",19860106,"UKR"
103808,47,945,"Potito","Starace",19810714,"ITA"
105238,48,940,"Alexandr","Dolgopolov",19881107,"UKR"
104386,49,935,"Janko","Tipsarevic",19840622,"SRB"
103990,50,915,"Tommy","Robredo",19820501,"ESP"
103812,51,915,"Victor","Hanescu",19810721,"ROU"
104312,52,900,"Andreas","Seppi",19840221,"ITA"
103794,53,877,"Benjamin","Becker",19810616,"GER"
103720,54,870,"Lleyton","Hewitt",19810224,"AUS"
104926,55,855,"Fabio","Fognini",19870524,"ITA"
104593,56,844,"Daniel","Gimeno Traver",19850807,"ESP"
104332,57,839,"Philipp","Petzschner",19840324,"GER"
103582,58,835,"Michael","Berrer",19800701,"GER"
105062,59,819,"Mikhail","Kukushkin",19871226,"KAZ"
103598,60,816,"Xavier","Malisse",19800719,"BEL"
104731,61,813,"Kevin","Anderson",19860518,"RSA"
103285,62,795,"Radek","Stepanek",19781127,"CZE"
104655,63,790,"Pablo","Cuevas",19860101,"URU"
105053,64,785,"Santiago","Giraldo",19871127,"COL"
104898,65,778,"Robin","Haase",19870406,"NED"
104122,66,725,"Carlos","Berlocq",19830203,"ARG"
104735,67,724,"Tobias","Kamke",19860521,"GER"
103602,68,720,"Fernando","Gonzalez",19800729,"CHI"
103722,69,715,"Florent","Serra",19810228,"FRA"
103997,70,695,"Lukasz","Kubot",19820516,"POL"
104665,71,683,"Pablo","Andujar",19860123,"ESP"
105137,72,672,"Pere","Riba",19880407,"ESP"
103333,73,670,"Ivo","Karlovic",19790228,"CRO"
104724,74,655,"Eduardo","Schwank",19860423,"ARG"
104534,75,643,"Dudi","Sela",19850404,"ISR"
103672,76,642,"Ricardo","Mello",19801221,"BRA"
103105,77,638,"Ruben","Ramirez Hidalgo",19780106,"ESP"
103096,78,627,"Arnaud","Clement",19771217,"FRA"
104214,79,622,"Igor","Andreev",19830714,"RUS"
104559,80,615,"Teymuraz","Gabashvili",19850523,"RUS"
105011,81,613,"Illya","Marchenko",19870908,"UKR"
104999,82,611,"Mischa","Zverev",19870822,"GER"
105173,83,600,"Adrian","Mannarino",19880629,"FRA"
102783,84,597,"Rainer","Schuettler",19760425,"GER"
104314,85,594,"Brian","Dabul",19840224,"ARG"
104308,86,590,"Michal","Przysiezny",19840216,"POL"
105575,87,587,"Ricardas","Berankis",19900621,"LTU"
104471,88,586,"Ivan","Dodig",19850102,"CRO"
105041,89,578,"Lukas","Lacko",19871103,"SVK"
104947,90,574,"Marsel","Ilhan",19870611,"TUR"
103835,91,574,"Filippo","Volandri",19810905,"ITA"
104460,92,573,"Dustin","Brown",19841208,"GER"
104349,93,573,"Rui","Machado",19840410,"POR"
104919,94,572,"Leonardo","Mayer",19870515,"ARG"
104225,95,570,"Jan","Hajek",19830807,"CZE"
103228,96,564,"Marcos","Daniel",19780704,"BRA"
103908,97,562,"Paul Henri","Mathieu",19820112,"FRA"
105453,98,554,"Kei","Nishikori",19891229,"JPN"
103188,99,552,"Michael","Russell",19780501,"USA"
103857,100,551,"Igor","Kunitsyn",19810930,"RUS"
